day,outdoor_temp,energy_intensity,cop
1,31.800000000000022,160.0,3.2
2,43.4048571455068,164.36732763984716,3.1417439285681166
3,43.12324573211298,168.75992014589173,3.0838398714029753
4,42.80431851709773,173.16554563218386,3.026334473256603
5,43.57243923326512,178.13603867994814,2.9678689242150216
6,49.770990389531605,188.65708996369597,2.861926943435958
7,50.0752200746782,199.9839151310037,2.7553765032866018
8,49.79821914916355,211.9087698133748,2.6493800649882746
9,51.41823940215644,225.47740254018356,2.540143586183962
10,50.43925682109922,239.528407973621,2.4328650725417633
11,48.94319504026062,260.9020000199683,2.354650279981372
12,48.51539685588957,284.3107754646806,2.277077184697538
13,49.81508088443265,310.95911242482254,2.197554563370889
14,48.80521821668833,340.13600544910605,2.1195467360458564
15,48.91852963547958,372.8540370829777,2.041368941592637
16,46.93728972243735,388.5300381733398,1.9912316518701998
17,47.363584881260785,405.3261296766284,1.9406680669889391
18,47.429305917763905,423.15255364346774,1.8900387610711753
19,47.483887308168256,442.09833847445526,1.839354873763007
20,46.630892925161085,461.80714564334085,1.789523980837846
21,49.05537830577468,504.40859098562476,1.6588855350734093
22,48.74736402259569,554.0669766098438,1.5290171250169202
23,48.99822831113751,613.1313615653202,1.3985215542390765
24,49.802107190780674,684.9343791248393,1.266016286262125
25,48.40662825776692,768.1467041516207,1.2
26,52.74282450119041,885.6395107576607,1.2
27,52.45313330677752,1020.1218393965416,1.2
28,52.03389818169735,1174.0065567327194,1.2
29,52.0556060762649,1350.3436492943736,1.2
30,52.47533016371484,1552.6064298983272,1.2
