day,outdoor_temp,energy_intensity,cop
1,41.81221399959511,166.1160131997975,3.1314847325005064
2,41.60485714550678,172.4091453248604,3.063228661068623
3,41.32324573211295,178.85738602597073,2.995324603903482
4,41.0043185170977,185.45742779739075,2.92781920575711
5,41.7724392332651,192.7766984125315,2.8593536567155287
6,47.97099038953158,206.15477456614178,2.7434116759364655
7,48.275220074678174,220.68649705892054,2.6268612357871093
8,47.998219149163525,236.21650008114105,2.5108647974887823
9,49.61823940215641,253.86661567390337,2.39162831868447
10,48.639256821099195,272.5537597263926,2.2743498050422715
11,47.14319504026059,300.8223646582742,2.1861350124818806
12,46.715396855889544,332.4382695146425,2.0985619171980465
13,48.01508088443263,368.9124575268674,2.0090392958713976
14,47.005218216688306,409.90628838764945,1.9210314685463652
15,47.118529635479554,456.9147443899656,1.8328536740931458
16,45.13728972243732,482.1988129983598,1.7727163843707086
17,45.56358488126076,509.62624847665523,1.7121527994894479
18,45.62930591776388,539.2505745503998,1.651523493571684
19,45.68388730816823,571.3290808005107,1.5908396062635157
20,44.83089292516106,605.6940021387808,1.5310087133383548
21,47.255378305774656,676.5738273030316,1.390370267573918
22,46.947364022595664,762.7443733021839,1.250501857517429
23,47.198228311137484,863.8836343197709,1.19
24,48.00210719078065,978.3578230383258,1.19
25,46.60662825776689,1106.7609120202305,1.19
26,50.94282450119039,1286.3713068465138,1.19
27,50.65313330677749,1494.0866259725026,1.19
28,50.23389818169733,1734.2621200978515,1.19
29,50.255606076264876,2012.2261804734233,1.19
30,50.67533016371481,2334.1236318430647,1.19
