day,outdoor_temp,energy_intensity,cop
1,31.800000000000022,160.0,3.2
2,43.4048571455068,166.01100091624562,3.131743928568117
3,43.12324573211298,172.15769393386373,3.0638398714029758
4,42.80431851709773,178.43508605607803,2.9963344732566037
5,43.57243923326512,185.40857027141908,2.9278689242150224
6,49.770990389531605,198.25579064234924,2.8119269434359593
7,50.0752200746782,212.18890606373313,2.695376503286603
8,49.79821914916355,227.04025137143367,2.579380064988276
9,51.41823940215644,243.9153218916463,2.4601435861839636
10,50.43925682109922,261.7112238463721,2.3428650725417652
11,48.94319504026062,288.36152249473804,2.2546502799813744
12,48.51539685588957,318.0475716609657,2.1670771846975403
13,49.81508088443265,352.20425674576586,2.0775545633708914
14,48.80521821668833,390.397041460138,1.989546736045859
15,48.91852963547958,433.9970508428438,1.9013689415926396
16,46.93728972243735,457.5060430644305,1.8412316518702023
17,47.363584881260785,482.95418293120827,1.7806680669889416
18,47.429305917763905,510.36299576717556,1.7200387610711778
19,47.483887308168256,539.9517241649446,1.6593548737630095
20,46.630892925161085,571.5087784148704,1.5995239808378485
21,49.05537830577468,604.10808098027,1.4588855350734118
22,48.74736402259569,677.93130670272,1.3190171250169227
23,48.99822831113751,768.2286307066755,1.19
24,49.802107190780674,870.4749214633565,1.19
25,48.40662825776692,985.0869795272613,1.19
26,52.74282450119041,1145.559078721838,1.19
27,52.45313330677752,1331.1258077990499,1.19
28,52.03389818169735,1545.6689232325327,1.19
29,52.0556060762649,1793.9688453511637,1.19
30,52.47533016371484,2081.5362367171997,1.19
